"families"	"mu"	"A"	"alpha"	"c"	"p"	"b"
"2011.8.15.14.18.10"	0.00689410658963788	1149.42079898103	1.2552212150725e-07	0.000341118721911562	1.39609093802381	0.670753631800237
"2011.8.15.8.15.48"	0.0165077811948281	902.119159008806	7.22172902825768e-06	0.000498336825339354	1.45954565445948	0.716952332841936
"2011.8.16.1.28.14"	0.0121021732250797	1215.10157346701	1.50441004101531e-09	0.000496160045855353	1.6111980309665	0.746713424112226
"2011.8.16.13.2.32"	0.00772981618864126	1959.86144539998	1.56246061434065e-07	0.000256041679281624	1.50777027712046	0.652050794089406
"2011.8.16.13.2.46"	0.0109030095279277	1560.41212537812	1.45725365346354e-07	0.000405252978537245	1.64108391635742	0.68493975426055
"2011.8.16.16.37.55"	0.0066741165316733	1472.97095102221	1.98746147954139e-08	0.000301681746962584	1.45141511570043	0.698652007399104
"2011.8.16.22.58.7"	0.011069858523954	1222.47236972428	3.80432004846015e-07	0.000417905486333962	1.51875781366089	0.744779724789477
"2011.8.16.23.37.43"	0.00710629346010052	1069.58209717585	5.26514775810128e-07	0.000397377911908947	1.43380911411919	0.6687153101742
"2011.8.16.4.31.10"	0.0159629180268179	759.699737974517	2.29328363401467e-07	0.000634774042757063	1.50054492715695	0.723526493050875
"2011.8.16.7.16.56"	2.08630336855529e-231	1.08383873726971e+41	330.011540608488	3.22505407908471e+171	3.24960853961418e-39	0.738110558009377
"2011.8.17.11.55.20"	0.00694009551069839	1538.35008688882	3.47750063346285e-07	0.000305176913771089	1.47535886982522	0.677582359039652
"2011.8.17.20.55.11"	0.0148678488394033	1011.83396985676	9.04916278552577e-07	0.000706293838626913	1.72610044347507	0.726805503112243
"2011.8.17.3.7.4"	0.00925695682158362	1610.88647563868	3.34060506290168e-40	0.000398724587655582	1.64917010410755	0.653972200309268
"2011.8.17.7.5.45"	1.42665588067034e-13	12508458427163869184	323.410143148585	7357335523827763200	0.000121651706565681	0.678712926942549
"2011.8.18.0.16.17"	0.0116827436834532	1006.26743840957	2.22125918805609e-07	0.00056973914137564	1.58421152190212	0.655889170819234
"2011.8.18.1.6.34"	0.0194885539276284	915.597165764507	2.67087728259709e-07	0.000779057702920577	1.7279847039397	0.667698428954838
"2011.8.18.15.37.30"	0.0142120712100632	1412.22553009931	0.000153898294603258	0.000544460032824114	1.78318217019365	0.637158388314666
"2011.8.18.15.40.4"	0.0144772919175861	1214.38690913871	1.75346229671319e-07	0.000554223402801543	1.68873468129276	0.638458460153498
"2011.8.18.2.0.51"	0.0103562963880165	1538.7888383618	2.07630990465933e-07	0.000421678295226184	1.65699476303461	0.648602388650051
"2011.8.18.2.1.46"	0.014312358733157	1537.29744421001	8.07728141574652e-08	0.000442136913366801	1.69130034402832	0.651071702234988
"2011.8.18.21.2.39"	0.0105730046980274	764.509276057266	7.53464209752704e-08	0.000590845985574787	1.46471315317668	0.67178318415284
"2011.8.19.1.36.43"	0.0147870459662751	1213.1514366597	1.26230313038908e-07	0.000421901300440162	1.5272290490994	0.675332585894069
"2011.8.19.1.51.20"	0.0115765271896294	1306.46623344596	2.63384696524484e-08	0.00053974008389388	1.71476636926657	0.641590921202094
"2011.8.20.4.50.44"	0.0132896577882702	1025.1839616005	5.24118575717402e-08	0.000550126104908458	1.57532944597336	0.636515106449854
"2011.8.20.4.54.15"	0.0128401549988712	1359.73119545437	2.43049933427132e-05	0.000549145640470124	1.76028699891605	0.638172065632507
