family mu A c p alpha
2010.8.15.12.40.2 0.0165253782482543 1210.82900780161 0.000506768750212117 1.62327249096877 1.90809827547826e-07
2010.8.15.13.42.57 0.0071246444797922 1581.19804177491 0.000354282758101734 1.56391384397453 2.72352428777835e-07
2010.8.15.18.0.20 0.0192586734791666 1059.43872058497 0.000552528347178805 1.59716495137629 4.54551176817306e-07
2010.8.15.21.15.46 0.00801327701254289 1200.09512083788 0.000296003037336896 1.36222465896043 3.22540223641265e-08
2010.8.15.21.47.5 0.015132357394376 1411.21301782943 0.000446839103221613 1.63937919164507 3.2360539204599e-07
2010.8.15.21.53.27 0.0163657934942127 1117.34507182162 0.000559163947261468 1.63405419581982 0.000258022749690583
2010.8.15.9.57.48 0.0654030854852375 595.562176927683 0.00197972438732483 2.23442793320846 4.02685550336027e-08
2010.8.16.15.0.35 0.00869117740362667 1818572218044.03 3.35175088553223e+29 0.597182320922962 335.013084617529
2010.8.16.15.12.2 0.0234987612956053 1254.40176871894 0.0005075446060806 1.65124178549565 2.45064637192577e-07
2010.8.16.15.16.28 3.50397239859122e-66 2.31476424416066e+289 7757602874772618240 163.826165182892 0.000457077624850987
2010.8.16.17.16.56 0.0112704490614976 486.620940820782 0.000558402300560344 1.29728305133997 2.23188744174801e-08
2010.8.16.18.14.12 0.0265919036332866 941.498722648604 0.000707190285199234 1.6826891608457 3.12314869949113e-07
2010.8.16.18.15.32 0.0203291181291016 1187.70698422704 0.000496697843201682 1.60072347005368 9.44378898667793e-09
2010.8.19.12.37.19 0.022478420852928 939.622603965072 0.000661229871368894 1.63773273070073 1.46413152098995e-07
2010.8.21.23.54.30 0.00679198711260615 1773.08330593364 0.000298063622567197 1.53211162381381 1.40701640299315e-08
2010.8.25.13.25.15 0.00745706319190637 1645.27624735998 0.000242200290991435 1.40183625571283 1.17022529779728e-07
2010.8.9.6.10.55 0.0183772487024413 878.921023456483 0.000822758498319904 1.73655665307023 7.93558297028741e-08
2011.8.14.12.20.2 0.0138428424346129 1242.0198353732 0.00050042860307799 1.63135359149549 3.21769827887223e-08
2011.8.15.10.36.32 0.0146496984611874 1104.76959056366 0.000569813601108774 1.64146171857249 2.14496486859938e-07
2011.8.15.10.51.44 0.00995132771980253 1372.42500608247 0.000466895023647929 1.64707217651212 2.11350350336255e-08
2011.8.15.11.3.42 0.021920391313948 1210.20174290591 0.000507953813618126 1.63005382050743 4.49482566258059e-08
2011.8.15.14.18.10 0.00706134486192357 1153.8075441755 0.000336995350464156 1.3922035019155 5.1099192007753e-09
2011.8.15.8.15.48 0.0169581316279052 903.641334416445 0.000495915904990811 1.45789066950648 3.02054088469343e-08
2011.8.16.1.28.14 0.0124377543942181 1215.47563311488 0.00049569515503164 1.61078805979599 4.16165467082662e-09
2011.8.16.13.2.32 0.00792445880275462 1961.59181628206 0.000255087086408066 1.50615791727097 3.38461725133252e-07
2011.8.16.13.2.46 0.0111915371053442 1560.99122861434 0.000404666490730102 1.64034998926859 6.75346712956389e-07
2011.8.16.16.37.55 0.00682825698174725 1477.37697952787 0.000298418829863268 1.44731932165752 7.76238001711435e-09
2011.8.16.22.58.7 0.011339462738319 1225.43772335908 0.000414389247777949 1.51532955960782 9.25230381314069e-09
2011.8.16.23.37.43 0.00727746366877059 1072.03974391434 0.000393904546589063 1.43052008869846 8.92235722920004e-08
2011.8.16.4.31.10 0.0163808732702261 761.17687270013 0.00063081297559885 1.49810677772803 2.46792650039875e-07
2011.8.16.7.16.56 0.00656172217242184 1040.68387417023 0.000350632644708982 1.36894913933134 1.54826507362706e-07
2011.8.17.11.55.20 0.00712330445557562 1540.42156489404 0.000303545970430707 1.47320214227396 1.76037152088577e-07
2011.8.17.20.55.11 0.0152850080941671 1011.77992400619 0.000706185212750864 1.72606438478512 0.000107330927715872
2011.8.17.3.7.4 0.00949778332648415 1611.72110864826 0.000397925148640896 1.64813972313875 4.50587977978869e-149
2011.8.17.7.5.45 0.014481714558893 1558.15006125985 0.000398270465555396 1.62814123866967 5.16255358698585e-08
2011.8.18.0.16.17 0.0119787165626427 1007.61625936466 0.000567247081986403 1.58228981126626 1.85717989816724e-07
2011.8.18.1.6.34 0.020015237166483 915.761146960072 0.000778715018730818 1.72780263921519 2.35095490178525e-07
2011.8.18.15.37.30 0.0145692863963262 1412.75699876949 0.000544174708364135 1.78287632963968 2.57062976938858e-07
2011.8.18.15.40.4 0.0148514441010498 1215.05369932776 0.000553137149239256 1.68770528995494 1.14261496763777e-07
2011.8.18.2.0.51 0.010642618516232 1539.54093008345 0.00042094876937166 1.65613160208685 1.08531597192952e-07
2011.8.18.2.1.46 0.0147136321830809 1537.71078497604 0.000441746724802178 1.69086709170415 8.88080178634646e-09
2011.8.18.21.2.39 8.22097470987904e-13 88508838315.8868 1.32678772119703e+21 0.584610391549762 345.50914844295
2011.8.19.1.36.43 0.0151584323132395 1215.58036298284 0.000418929591071855 1.52425568471835 2.72081208351995e-07
2011.8.19.1.51.20 0.0118994460774499 1306.96936651225 0.000539016316466477 1.71405338893049 2.69145973787252e-08
2011.8.20.4.50.44 0.0136416062075454 1024.23730154834 0.000548183393897323 1.57380969101859 0.00129883500732807
2011.8.20.4.54.15 0.0131870433224505 1359.87404923595 0.000549004820017045 1.76017235329797 1.74595693761069e-05
